threshold,accuracy,balanced_accuracy,f1,precision,recall,specificity,false_positive_rate,predicted_positive_ratio,tn,fp,fn,tp
0.65,0.6772849791717717,0.6029572223193408,0.7745249101181304,0.7714870395634379,0.7775867995874871,0.4283276450511945,0.5716723549488054,0.7184513599607939,502,670,647,2262
0.66,0.6689536878216124,0.6067934396840686,0.7642645262606875,0.776045357902197,0.7528360261258165,0.46075085324232085,0.5392491467576792,0.6914971820632198,540,632,719,2190
0.67,0.6638078902229846,0.6108261755620137,0.7571681415929202,0.7803721269609631,0.735304228257133,0.4863481228668942,0.5136518771331058,0.6716491056113698,570,602,770,2139
0.68,0.6549865229110512,0.6120259650818867,0.7465802735781139,0.7835285228560634,0.7129597799931248,0.5110921501706485,0.48890784982935154,0.6486155354079882,599,573,835,2074
0.69,0.6478804214653271,0.6174858066703663,0.7360881542699724,0.7902208201892744,0.6888965280165005,0.5460750853242321,0.4539249146757679,0.621416319529527,640,532,905,2004
0.7,0.6363636363636364,0.6170496528955096,0.7219932559010867,0.7933305887196377,0.6624269508422138,0.5716723549488054,0.4283276450511945,0.5951972555746141,670,502,982,1927
0.71,0.627297231070816,0.6211344515138966,0.708564859168423,0.8004329004329004,0.635613612925404,0.606655290102389,0.39334470989761094,0.5660377358490566,711,461,1060,1849
0.72,0.614800294045577,0.6187370723082537,0.6928487690504103,0.8026256224535989,0.6094877964936404,0.6279863481228669,0.3720136518771331,0.5412888997794658,736,436,1136,1773
0.73,0.60132320509679,0.6184543202981919,0.6740132238028452,0.8078770413064361,0.5782055689240289,0.658703071672355,0.3412969283276451,0.5101690762068121,772,400,1227,1682
0.74,0.5920117618230826,0.6205840530212815,0.6591606960081883,0.8147773279352226,0.5534547954623582,0.6877133105802048,0.3122866894197952,0.4841950502327861,806,366,1299,1610
0.75,0.5829453565302621,0.6216119621698929,0.6446764091858038,0.8208399787347156,0.5307665864558267,0.712457337883959,0.28754266211604096,0.4609164420485175,835,337,1365,1544
0.76,0.568733153638814,0.6177566795762709,0.6242527754056363,0.8236619718309859,0.5025782055689241,0.7329351535836177,0.26706484641638223,0.4349424160744915,859,313,1447,1462
0.77,0.555256064690027,0.6144170380964338,0.6037982973149968,0.8271531100478469,0.47542110690959094,0.7534129692832765,0.24658703071672355,0.40970350404312667,883,289,1526,1383
0.78,0.5430041656456751,0.6121915392620525,0.5837982593171168,0.8320610687022901,0.44963905122035064,0.7747440273037542,0.22525597269624573,0.38519970595442293,908,264,1601,1308
0.79,0.5312423425630973,0.6110740235376383,0.5629426547863834,0.8392370572207084,0.42351323478858716,0.7986348122866894,0.20136518771331058,0.35971575594217103,936,236,1677,1232
0.8,0.5150698358245528,0.6048247348173317,0.5366424724888784,0.8414096916299559,0.3939498109315916,0.8156996587030717,0.18430034129692832,0.33374172996814505,956,216,1763,1146
0.81,0.5025728987993139,0.601408392455097,0.5141215892771661,0.8463356973995272,0.36919903746992094,0.8336177474402731,0.16638225255972697,0.31095319774565056,977,195,1835,1074
0.82,0.4868904680225435,0.5962670868447575,0.48525073746312686,0.8515962036238136,0.3392918528704022,0.8532423208191127,0.14675767918088736,0.28399901984807646,1000,172,1922,987
0.83,0.4734133790737564,0.5921632229974764,0.45882649206748927,0.8578154425612052,0.3131660364386387,0.871160409556314,0.128839590443686,0.2602303357020338,1021,151,1998,911
0.84,0.46508208772359716,0.5926878101032808,0.4383843581167996,0.8711656441717791,0.2928841526297697,0.8924914675767918,0.1075085324232082,0.23964714530752268,1046,126,2057,852
0.85,0.451114922813036,0.5872212223568847,0.40990516332982085,0.8771138669673055,0.26744585768305257,0.9069965870307167,0.09300341296928327,0.21734868904680227,1063,109,2131,778
0.86,0.4334721881891693,0.5761195395717891,0.37749057619816906,0.8708074534161491,0.2409762805087659,0.9112627986348123,0.08873720136518772,0.19725557461406518,1068,104,2208,701
0.87,0.41950502327860817,0.5693792478796532,0.3479218276906138,0.8729281767955801,0.21725678927466482,0.9215017064846417,0.07849829351535836,0.17740749816221515,1080,92,2277,632
0.88,0.40798823817691743,0.5630840559543936,0.32362821948488246,0.8717948717948718,0.19869370917841184,0.9274744027303754,0.07252559726962457,0.16246018132810586,1087,85,2331,578
0.89,0.3947561872090174,0.5563499237977466,0.2938822184105203,0.8726655348047538,0.17669302165692677,0.9360068259385665,0.06399317406143344,0.14432737074246507,1097,75,2395,514
0.9,0.38323940210732665,0.5515831766073748,0.2651094890510949,0.8798449612403101,0.15606737710553456,0.947098976109215,0.052901023890784986,0.12643959813771136,1110,62,2455,454
0.91,0.372457730948297,0.5470773297416398,0.23711647304140598,0.8883928571428571,0.13681677552423513,0.9573378839590444,0.042662116040955635,0.1097770154373928,1122,50,2511,398
0.92,0.3626562117128155,0.5427495227826552,0.21110100090991812,0.8969072164948454,0.11962873839807495,0.9658703071672355,0.034129692832764506,0.09507473658417055,1132,40,2561,348
0.93,0.352854692477334,0.5379122342453748,0.1851280468991052,0.9036144578313253,0.10312822275696115,0.9726962457337884,0.027303754266211604,0.08135260965449645,1140,32,2609,300
0.94,0.34305317324185247,0.5325654641297984,0.15929758544998432,0.9071428571428571,0.08731522860089377,0.9778156996587031,0.02218430034129693,0.0686106346483705,1146,26,2655,254
0.95,0.333496691987258,0.5281547967529275,0.13154533844189017,0.9237668161434978,0.07081471295978,0.985494880546075,0.014505119453924915,0.05464346973780936,1155,17,2703,206
